"quaCheckaccount","numDuration","quaCredHist","quaPurpos","numAmount","quaSavaccount","quaEmploy","numRate","quaStatSex","quaDebGuar","numResid","quaProp","numAge","quaPlan","quaHousing","numCredits","quaJob","numLiabl","quaTeleph","quaForeigwork","target"
"A14",36,"A32","A46",9055,"A65","A73",2,"A93","A101",4,"A124",35,"A143","A153",1,"A172",2,"A192","A201",0
"A14",24,"A32","A42",2835,"A63","A75",3,"A93","A101",4,"A122",53,"A143","A152",1,"A173",1,"A191","A201",0
"A12",12,"A32","A43",1567,"A61","A73",1,"A92","A101",1,"A123",22,"A143","A152",1,"A173",1,"A192","A201",0
"A11",30,"A30","A49",8072,"A65","A72",2,"A93","A101",3,"A123",25,"A141","A152",3,"A173",1,"A191","A201",0
"A11",10,"A34","A40",2241,"A61","A72",1,"A93","A101",3,"A121",48,"A143","A151",2,"A172",2,"A191","A202",0
"A11",6,"A32","A42",1374,"A61","A73",1,"A93","A101",2,"A121",36,"A141","A152",1,"A172",1,"A192","A201",0
"A12",7,"A32","A43",2415,"A61","A73",3,"A93","A103",2,"A121",34,"A143","A152",1,"A173",1,"A191","A201",0
"A12",18,"A32","A49",1913,"A64","A72",3,"A94","A101",3,"A121",36,"A141","A152",1,"A173",1,"A192","A201",0
"A14",48,"A34","A46",6110,"A61","A73",1,"A93","A101",3,"A124",31,"A141","A153",1,"A173",1,"A192","A201",0
"A11",6,"A32","A41",1352,"A63","A71",1,"A92","A101",2,"A122",23,"A143","A151",1,"A171",1,"A192","A201",0
"A12",27,"A33","A41",5965,"A61","A75",1,"A93","A101",2,"A123",30,"A143","A152",2,"A174",1,"A192","A201",0
"A13",18,"A32","A40",1961,"A61","A75",3,"A92","A101",2,"A123",23,"A143","A152",1,"A174",1,"A191","A201",0
"A12",9,"A32","A49",1391,"A61","A73",2,"A94","A101",1,"A121",27,"A141","A152",1,"A173",1,"A192","A201",0
"A12",15,"A34","A43",1537,"A65","A75",4,"A93","A103",4,"A121",50,"A143","A152",2,"A173",1,"A192","A201",0
"A14",24,"A32","A43",3181,"A61","A72",4,"A92","A101",4,"A122",26,"A143","A152",1,"A173",1,"A192","A201",0
"A14",12,"A32","A43",2171,"A61","A72",2,"A92","A101",2,"A123",29,"A141","A152",1,"A173",1,"A191","A201",0
"A12",11,"A33","A43",4771,"A61","A74",2,"A93","A101",4,"A122",51,"A143","A152",1,"A173",1,"A191","A201",0
"A14",54,"A30","A41",9436,"A65","A73",2,"A93","A101",2,"A122",39,"A143","A152",1,"A172",2,"A191","A201",0
